"idx","arith_return"
1,1.99999999999978
2,-0.500000000001055
3,-0.500000000001055
4,-0.999999999997669
5,-1.00000000000211
6,0.500000000001055
7,0
8,0
9,-0.500000000001055
10,0
11,0
12,2.50000000000083
13,0.500000000001055
14,0.499999999998835
15,0
16,0.499999999998835
17,0.500000000001055
18,0
19,0.500000000001055
20,1.49999999999872
21,-0.99999999999989
22,1.50000000000095
23,0.499999999998835
24,-1.50000000000095
25,1.50000000000095
26,0.99999999999989
27,-1.99999999999978
28,1.49999999999872
29,-0.499999999998835
30,0
31,0.499999999998835
32,-0.499999999998835
33,0.99999999999989
34,0.500000000001055
35,-0.500000000001055
36,-0.500000000001055
37,0.500000000001055
38,0.500000000001055
39,0
40,-0.500000000001055
41,0
42,-0.500000000001055
43,-0.499999999998835
44,-0.499999999998835
45,0
46,0.999999999997669
47,0
48,1.50000000000095
49,0
50,0
51,-0.99999999999989
52,-0.99999999999989
53,1.50000000000095
54,0
55,-0.500000000001055
56,-0.99999999999989
57,0.99999999999989
58,0.99999999999989
59,0.499999999998835
60,1.50000000000095
61,0.99999999999989
62,0.500000000001055
63,0.999999999997669
64,-0.499999999998835
65,-0.499999999998835
66,0.999999999997669
67,-0.499999999998835
68,0.499999999998835
69,-0.999999999997669
70,1.49999999999872
71,0
72,0.99999999999989
73,-0.99999999999989
74,-0.500000000001055
75,-0.499999999998835
76,0
77,0
78,0
79,0
80,0.499999999998835
81,-0.499999999998835
82,0
83,-0.499999999998835
84,0
85,0.499999999998835
86,0
87,1.99999999999978
88,0
89,0
90,0
91,-0.99999999999989
92,2.50000000000083
93,-1.50000000000095
94,0.499999999998835
95,-0.499999999998835
96,0.499999999998835
97,-0.999999999997669
98,0.499999999998835
99,-0.499999999998835
100,0
101,0.499999999998835
102,-0.499999999998835
103,0.999999999997669
104,0.500000000003276
105,-1.00000000000211
106,-0.499999999998835
107,-0.500000000001055
108,-0.500000000001055
109,1.50000000000095
110,-0.499999999998835
111,0.999999999997669
112,-0.499999999998835
113,0.499999999998835
114,-0.499999999998835
115,0
116,0
117,-0.99999999999989
118,0.500000000001055
119,0
120,0
121,1.50000000000095
122,-0.500000000001055
123,0.500000000001055
124,-1.00000000000211
125,0
126,-0.99999999999989
127,0
128,-0.500000000001055
129,-0.499999999998835
130,-0.499999999998835
131,-1.00000000000211
132,0
133,1.50000000000095
134,-0.99999999999989
135,0.500000000001055
136,-0.500000000001055
137,0
138,-0.99999999999989
139,0
140,0
141,0
142,-0.499999999998835
143,0.499999999998835
144,-0.499999999998835
145,0.999999999997669
146,-0.499999999998835
147,0
148,0
149,0
150,-0.499999999998835
151,-0.500000000001055
152,0
153,0
154,0
155,0
156,0
157,-0.500000000001055
158,0.500000000001055
159,0.500000000001055
160,0
161,0.499999999998835
162,-0.499999999998835
163,0
164,0
165,-0.500000000001055
166,-0.500000000001055
167,0
168,-0.499999999998835
169,0.499999999998835
170,0
171,0.500000000001055
172,0
173,1.49999999999872
174,-0.999999999997669
175,0.499999999998835
176,0
177,0
178,0
179,0
180,0
181,-0.499999999998835
182,0.499999999998835
183,-0.99999999999989
184,0
185,0
186,0
187,0
188,-0.500000000001055
189,0.500000000001055
190,0
191,0
192,0.99999999999989
193,0
194,0
195,-0.499999999998835
196,0
197,0
198,0.499999999998835
199,-1.50000000000095
200,0.500000000001055
201,0
202,0
203,-0.500000000001055
204,0.500000000001055
205,-1.99999999999978
206,0.99999999999989
207,0.99999999999989
208,-1.99999999999978
209,0.500000000001055
210,0
211,-0.500000000001055
212,0.99999999999989
213,-0.499999999998835
214,0.999999999997669
